source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
0,2,0.06670190393924713,0.0,0.0,0.0,0,paired,0.5452024836958644,0.8305870236869207,0.00696142390370369,0.007188970688730478,0.027077466249465942,0.9920414979037874,0.5475975681506178,13961,0.0,4.690198775592618,0.5452024836958644,0.027077466249465942
1,3,0.10005273669958115,0.033350832760334015,0.0334,4.916723966598424e-05,167,paired,0.5351573187414501,0.8160741885625966,0.00785786658525467,0.008263110183179379,0.02829630821943282,0.990523041307965,0.5379115266755716,13692,0.0036807360593229532,4.905438632923078,0.5349599843841499,0.027537384629249567
2,4,0.13340356945991516,0.06670166552066803,0.0668,9.833447933196848e-05,334,paired,0.5374072627879735,0.8273195876288659,0.007465187460184097,0.007834083400666714,0.02775903344154357,0.9913563350860765,0.5399372302863868,13763,0.00398332579061389,4.641819639332233,0.5370023419203747,0.02649945020675659
3,5,0.16675415635108948,0.10005225241184235,0.10020000000000001,0.0001477475881576651,501,paired,0.54555741990869,0.8301693175987686,0.008322833105921745,0.008394545875489712,0.02879372239112854,0.9915602836879432,0.5481025560608437,13981,0.004595318343490362,4.804806725991126,0.5461361240188997,0.027619369328022003
4,6,0.2001049816608429,0.13340307772159576,0.1336,0.00019692227840423238,668,paired,0.536198566084788,0.8216299333675039,0.008664961904287338,0.008770647458732128,0.029045969247817993,0.9913550896909444,0.5387175070466645,13761,0.0049727912992239,4.967730358925005,0.5365044679439653,0.027518385648727408
5,7,0.2334555685520172,0.16675366461277008,0.1668,4.633538722992325e-05,834,paired,0.5361483328139607,0.8208802456499488,0.00823134370148182,0.008333627134561539,0.028955319523811338,0.9919285096569617,0.5384976525821596,13764,0.0046978117898106575,5.035615542548977,0.5357101064867185,0.02748737931251526
6,8,0.26680615544319153,0.2001042515039444,0.20020000000000002,9.574849605561986e-05,1001,paired,0.5400857031554344,0.813265306122449,0.008553095161914825,0.008582087233662605,0.028958663344383125,0.9933366769363043,0.5420494975954959,13864,0.0047881207428872585,5.18618710777844,0.5416959749902306,0.027533629536628707
7,9,0.30015674233436584,0.2334548383951187,0.2336,0.0001451616048812887,1168,paired,0.5332322171664139,0.7993890020366599,0.009068215265870094,0.009224430657923222,0.029566466808319092,0.9921128798842258,0.5355022652710514,13711,0.0052609918639063835,5.227016771039467,0.5347829481574016,0.028062418103218075
8,10,0.33350709080696106,0.26680518686771393,0.267,0.00019481313228608688,1335,paired,0.5358544832679079,0.820538891713269,0.008390747010707855,0.008496376685798168,0.02873924672603604,0.9915851553509781,0.5383023582695612,13787,0.004751844797283411,5.030656003378811,0.5375819544177334,0.027293434739112808
9,11,0.3668576776981354,0.30015577375888824,0.3002,4.422624111177775e-05,1501,paired,0.5373644736330782,0.8201219512195121,0.007865620777010918,0.008028806187212467,0.028385627269744872,0.992036731472846,0.5396924517992351,13828,0.0045356424525380135,5.033778082240712,0.5393683881797244,0.026413989067077596
