source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
0,2,0.06670190393924713,0.0,0.0,0.0,0,paired,0.5452024836958644,0.8305870236869207,0.00696142390370369,0.007188970688730478,0.027077466249465942,0.9920414979037874,0.5475975681506178,13961,0.0,4.690198775592618,0.5452024836958644,0.027077466249465942
1,3,0.10005273669958115,0.033350832760334015,0.0334,4.916723966598424e-05,167,paired,0.5351573187414501,0.8160741885625966,0.007857998833060265,0.008263187482953072,0.02829642742872237,0.990523041307965,0.5379115266755716,13692,0.0036807444412261248,4.905438632923078,0.5349599843841499,0.027537384629249567
2,4,0.13340356945991516,0.06670166552066803,0.0668,9.833447933196848e-05,334,paired,0.5374072627879735,0.8273195876288659,0.0074653238989412785,0.007834172807633877,0.027759152650833122,0.9913563350860765,0.5399372302863868,13763,0.003983359318226576,4.641819639332233,0.5370023419203747,0.02649945020675659
3,5,0.16675415635108948,0.10005225241184235,0.10020000000000001,0.0001477475881576651,501,paired,0.54555741990869,0.8301693175987686,0.008322940208017826,0.008394643664360046,0.02879384160041809,0.9915602836879432,0.5481025560608437,13981,0.004595378413796425,4.804806725991126,0.5461361240188997,0.027619369328022003
4,6,0.2001049816608429,0.13340307772159576,0.1336,0.00019692227840423238,668,paired,0.536198566084788,0.8216299333675039,0.008665041998028755,0.008770715445280075,0.02904602885246277,0.9913550896909444,0.5387175070466645,13761,0.004972830880433321,4.967730358925005,0.5365044679439653,0.027518385648727408
5,7,0.2334555685520172,0.16675366461277008,0.1668,4.633538722992325e-05,834,paired,0.5361483328139607,0.8208802456499488,0.008231405168771744,0.008333680219948292,0.028955420851707457,0.9919285096569617,0.5384976525821596,13764,0.004697839729487896,5.035615542548977,0.5357101064867185,0.02748737931251526
6,8,0.26680615544319153,0.2001042515039444,0.20020000000000002,9.574849605561986e-05,1001,paired,0.5400857031554344,0.813265306122449,0.008553139865398407,0.008582129143178463,0.028958663344383125,0.9933366769363043,0.5420494975954959,13864,0.004788145888596773,5.18618710777844,0.5416959749902306,0.027533629536628707
7,9,0.30015674233436584,0.2334548383951187,0.2336,0.0001451616048812887,1168,paired,0.5332322171664139,0.7993890020366599,0.00906824879348278,0.009224457666277885,0.02956649661064148,0.9921128798842258,0.5355022652710514,13711,0.005261005833745003,5.227016771039467,0.5347829481574016,0.028062418103218075
8,10,0.33350709080696106,0.26680518686771393,0.267,0.00019481313228608688,1335,paired,0.5358544832679079,0.820538891713269,0.008390504866838455,0.00849613081663847,0.02873924672603604,0.9915851553509781,0.5383023582695612,13787,0.004751856438815594,5.030656003378811,0.5375819544177334,0.027293434739112808
9,11,0.3668576776981354,0.30015577375888824,0.3002,4.422624111177775e-05,1501,paired,0.5373644736330782,0.8201219512195121,0.007864146493375301,0.008027327246963978,0.028385627269744872,0.992036731472846,0.5396924517992351,13828,0.004537531174719334,5.033778082240712,0.5393683881797244,0.026413989067077596
10,12,0.4002079963684082,0.33350609242916107,0.3336,9.390757083893586e-05,1668,paired,0.5294140488486778,0.7939086294416243,0.009238210506737232,0.009333252906799316,0.029464638233184792,0.9913473423980222,0.5318717328548023,13634,0.0053021106868982315,4.961068429435546,0.5319281811085089,0.028039667010307304
11,13,0.4335583448410034,0.3668564409017563,0.367,0.00014355909824370627,1835,paired,0.533951935396203,0.8077118214104515,0.008839619345963001,0.008932158350944519,0.028794378042221066,0.9919221060223584,0.5362838759992201,13753,0.004950232803821564,4.857720339125658,0.5366596392597798,0.027486227452754974
12,14,0.46690845489501953,0.4002065509557724,0.40040000000000003,0.00019344904422763376,2002,paired,0.5383123933612532,0.8210846426761277,0.008094262331724167,0.008313821628689766,0.029087825119495384,0.9908636688079943,0.5409976617303196,13882,0.004549974109977484,4.89682052363111,0.5415983766487161,0.02681356072425837
13,15,0.5002588033676147,0.4335568994283676,0.43360000000000004,4.31005716324262e-05,2168,paired,0.5356547365155686,0.8086075949367089,0.009420798160135746,0.009579917415976524,0.029886607825756056,0.9918862640913334,0.5380121514254557,13814,0.005414396990090609,4.896232511922771,0.5388999492524496,0.028230285644531224
